TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),9540000.00,11410000.00,12090000.00,12340000.00,12880000.00,14940000.00,15140000.00,17220000.00,19030000.00
European Union - 28 countries (2013-2020),11580000.00,14860000.00,14580000.00,14370000.00,15260000.00,17620000.00,18090000.00,20160000.00,NaN
Belgium,1332559.00,631509.00,1074910.00,716165.00,651775.00,1395458.00,715623.00,745450.00,994896.00
Bulgaria,44246.00,25864.00,72972.00,59950.00,99922.00,196124.00,213449.00,260939.00,367487.00
Czechia,169315.00,214116.00,232260.00,253923.00,325623.00,347929.00,430416.00,565453.00,556682.00
Denmark,53996.00,53779.00,72692.00,78548.00,104816.00,98820.00,114585.00,105457.00,139833.00
Germany,1138544.00,1413697.00,1936296.00,2288466.00,2530498.00,2704367.00,2734235.00,2864626.00,3097163.00
Estonia,74358.00,89683.00,93713.00,25390.00,22706.00,32966.00,42836.00,52389.00,43142.00
Ireland,309155.00,358202.00,39128.00,335134.00,121812.00,183148.00,148536.00,158578.00,197614.00
Greece,355234.00,755493.00,672636.00,226992.00,133232.00,192248.00,256905.00,190723.00,172216.00
Spain,1205087.00,1616607.00,1903919.00,1465233.00,1142921.00,1105552.00,731064.00,815282.00,876807.00
France,1252500.00,1166210.00,1551260.00,1436697.00,1646794.00,1729628.00,1955098.00,2058723.00,2399602.00
Croatia,63232.00,186368.00,29505.00,24807.00,39186.00,49116.00,65131.00,71670.00,126223.00
Italy,1394288.00,1564187.00,1608694.00,2141461.00,2781865.00,3215966.00,3931868.00,4388081.00,4848441.00
Cyprus,76365.00,56708.00,68365.00,83994.00,4243.00,5242.00,6222.00,8352.00,17174.00
Latvia,720.00,12122.00,8556.00,8116.00,21576.00,23397.00,61891.00,89055.00,112421.00
Lithuania,17687.00,29869.00,30555.00,39960.00,50638.00,73131.00,88744.00,102441.00,110399.00
Luxembourg,17796.00,32195.00,19562.00,27304.00,26329.00,26325.00,28860.00,30005.00,31317.00
Hungary,125321.00,146575.00,150309.00,151480.00,185787.00,243630.00,221334.00,207563.00,159808.00
Malta,223.00,673.00,2370.00,3520.00,4359.00,5660.00,8657.00,7201.00,8802.00
Netherlands,373761.00,377778.00,409640.00,518143.00,574632.00,570769.00,521658.00,561249.00,642780.00
Austria,589335.00,350081.00,640521.00,564604.00,357595.00,371417.00,371236.00,380208.00,399084.00
Poland,195685.00,325373.00,407167.00,863236.00,969653.00,1188512.00,1296322.00,2105858.00,2238779.00
Portugal,234411.00,996201.00,193001.00,165192.00,176396.00,232192.00,307204.00,370413.00,447175.00
Romania,190688.00,580044.00,418975.00,407225.00,488164.00,345617.00,280235.00,301379.00,304857.00
Slovenia,38289.00,43486.00,47275.00,56280.00,47777.00,61829.00,59273.00,69460.00,67282.00
Slovakia,42470.00,75298.00,94192.00,111327.00,108140.00,124269.00,148697.00,192170.00,199211.00
Finland,79235.00,125325.00,87033.00,71352.00,91349.00,116859.00,87361.00,120091.00,132105.00
Sweden,165970.00,188173.00,223251.00,218839.00,175836.00,301187.00,315976.00,396061.00,342506.00
Iceland,3932.00,NaN,5481.00,4358.00,6427.00,5553.00,7975.00,10966.00,7974.00
Liechtenstein,NaN,NaN,241.00,365.00,173.00,207.00,336.00,268.00,320.00
Norway,56629.00,85475.00,92152.00,88845.00,157859.00,244118.00,244217.00,275537.00,254853.00
United Kingdom,2042781.00,3447447.00,2488759.00,2031292.00,2378525.00,2678997.00,2947998.00,2922915.00,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,1867.00,27986.00,13626.00,20290.00,9424.00
Montenegro,NaN,NaN,NaN,NaN,5418.00,2690.00,2921.00,3271.00,2931.00
North Macedonia,NaN,NaN,1194.00,4031.00,10860.00,8792.00,24591.00,66671.00,48204.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,6820.00,17854.00,27553.00,55076.00,56220.00,65698.00
Türkiye,204385.00,0.00,405008.00,217310.00,214580.00,223381.00,658164.00,725276.00,757243.00
Kosovo*,NaN,NaN,NaN,NaN,877.00,4206.00,4625.00,38559.00,2125.00